Month,Academic_Phase,Location_Zone,Business_Category,Competitor_Density,Base_Footfall_Index,Demand_Volume,Location_Suitability_Score
6,Resumption,Apatapiti,Electronics,5,0.53,117,45.26
7,Mid-Semester,South Gate,Fast Food,15,0.866,384,42.87
3,Mid-Semester,South Gate,POS/Fintech,20,0.757,331,17.64
1,Holidays,Apatapiti,Fast Food,16,0.124,18,0.0
5,Exams,South Gate,POS/Fintech,20,0.902,375,18.32
12,Holidays,South Gate,Electronics,13,0.196,6,17.22
12,Holidays,Obanla,Fast Food,10,0.251,44,34.93
2,Mid-Semester,North Gate,Fashion,6,0.497,150,42.37
5,Exams,Apatapiti,Electronics,4,0.464,42,51.97
8,Exams,South Gate,Fast Food,17,0.857,369,35.28
11,Holidays,South Gate,POS/Fintech,9,0.195,28,43.5
9,Exams,South Gate,POS/Fintech,14,0.879,396,42.04
2,Resumption,Obanla,Electronics,8,0.685,181,49.03
12,Holidays,North Gate,Electronics,4,0.125,4,36.67
3,Mid-Semester,Obanla,POS/Fintech,19,0.774,338,14.69
3,Mid-Semester,Apatapiti,Fast Food,11,0.619,339,35.08
1,Resumption,West Gate,Fashion,0,0.183,67,26.83
8,Mid-Semester,South Gate,Stationery/Printing,15,0.903,214,40.35
6,Resumption,North Gate,Electronics,1,0.448,143,54.03
12,Holidays,Obanla,POS/Fintech,8,0.189,27,43.88
8,Mid-Semester,West Gate,Fast Food,7,0.321,223,24.86
11,Holidays,West Gate,Electronics,2,0.12,4,20.61
9,Exams,South Gate,Fast Food,13,0.86,422,49.63
5,Exams,Obanla,Electronics,11,0.746,58,45.98
12,Resumption,North Gate,POS/Fintech,10,0.363,255,21.01
3,Mid-Semester,South Gate,Fast Food,14,0.846,453,37.54
5,Exams,South Gate,POS/Fintech,18,0.761,318,20.1
5,Exams,North Gate,Fast Food,12,0.484,246,17.05
5,Exams,North Gate,Electronics,7,0.465,36,46.49
3,Mid-Semester,South Gate,Stationery/Printing,18,0.952,261,30.2
11,Holidays,Obanla,Stationery/Printing,5,0.119,6,44.53
10,Holidays,South Gate,Fashion,15,0.213,17,3.78
4,Mid-Semester,Obanla,Fashion,11,0.756,221,34.51
9,Exams,South Gate,POS/Fintech,12,0.784,414,46.75
10,Resumption,South Gate,Fast Food,12,0.764,435,48.57
9,Exams,North Gate,Fashion,5,0.582,95,52.08
2,Mid-Semester,South Gate,Electronics,15,0.868,84,32.6
8,Mid-Semester,Obanla,Stationery/Printing,10,0.826,248,43.26
8,Exams,South Gate,Fast Food,11,0.784,391,48.75
7,Mid-Semester,Obanla,Stationery/Printing,10,0.789,285,40.54
8,Mid-Semester,South Gate,Fast Food,8,0.809,464,66.56
3,Mid-Semester,Obanla,Fashion,15,0.706,161,23.6
6,Resumption,Apatapiti,Fashion,5,0.451,146,47.08
1,Holidays,South Gate,POS/Fintech,20,0.159,18,0.0
7,Mid-Semester,North Gate,Fast Food,4,0.503,378,52.19
1,Holidays,South Gate,Electronics,6,0.29,9,52.45
9,Exams,Obanla,Fashion,13,0.707,78,27.68
1,Holidays,South Gate,POS/Fintech,16,0.224,29,17.04
1,Holidays,Obanla,Fashion,16,0.245,19,0.0
7,Mid-Semester,Obanla,Stationery/Printing,10,0.734,217,42.27
2,Resumption,West Gate,Fashion,3,0.221,92,26.45
5,Holidays,Obanla,Fast Food,14,0.144,21,16.0
8,Exams,Obanla,POS/Fintech,13,0.769,357,38.48
8,Exams,North Gate,Fast Food,13,0.482,210,9.13
3,Mid-Semester,West Gate,Electronics,3,0.307,50,26.37
7,Mid-Semester,Apatapiti,Electronics,1,0.555,88,63.7
3,Mid-Semester,South Gate,Fashion,13,0.917,306,35.98
6,Resumption,Apatapiti,POS/Fintech,7,0.632,598,39.1
6,Resumption,North Gate,POS/Fintech,8,0.459,366,39.8
3,Mid-Semester,Apatapiti,POS/Fintech,6,0.646,443,53.87
7,Mid-Semester,Apatapiti,POS/Fintech,13,0.568,271,18.91
3,Mid-Semester,South Gate,Fashion,11,0.914,259,52.6
8,Exams,Obanla,Fast Food,12,0.741,393,38.67
10,Resumption,South Gate,Fashion,14,0.703,214,27.21
4,Mid-Semester,South Gate,Fast Food,16,0.873,405,40.86
1,Holidays,South Gate,Stationery/Printing,14,0.235,9,22.05
4,Exams,Obanla,Stationery/Printing,16,0.722,491,13.37
7,Mid-Semester,South Gate,Fast Food,15,0.875,496,31.38
11,Resumption,South Gate,Fashion,10,0.763,288,54.45
4,Mid-Semester,Obanla,Electronics,5,0.741,121,64.12
6,Mid-Semester,South Gate,Fashion,11,0.862,205,52.03
9,Holidays,South Gate,Electronics,8,0.195,6,44.76
1,Holidays,South Gate,Fashion,18,0.18,11,0.0
5,Exams,North Gate,POS/Fintech,5,0.531,312,59.57
11,Holidays,North Gate,POS/Fintech,12,0.1,14,7.51
7,Exams,South Gate,Stationery/Printing,16,0.799,399,36.76
1,Holidays,West Gate,Stationery/Printing,1,0.1,5,30.59
4,Exams,Obanla,Fast Food,12,0.669,309,38.08
6,Resumption,South Gate,Electronics,7,0.842,183,67.32
2,Resumption,South Gate,POS/Fintech,15,0.693,522,32.83
10,Holidays,North Gate,Fashion,3,0.145,15,41.17
5,Exams,Obanla,Fast Food,13,0.706,282,40.81
11,Holidays,South Gate,Fashion,5,0.236,22,53.16
10,Holidays,South Gate,POS/Fintech,16,0.204,23,11.99
1,Resumption,Apatapiti,POS/Fintech,9,0.565,453,36.59
6,Resumption,South Gate,POS/Fintech,14,0.779,579,40.14
6,Resumption,North Gate,POS/Fintech,8,0.479,313,36.95
4,Mid-Semester,Apatapiti,Fashion,5,0.687,239,62.57
8,Exams,Obanla,Fast Food,13,0.619,313,32.7
4,Exams,South Gate,POS/Fintech,19,0.812,390,26.36
8,Exams,Obanla,Stationery/Printing,7,0.663,408,54.71
8,Exams,South Gate,Fast Food,19,0.771,309,23.68
5,Holidays,Obanla,Stationery/Printing,14,0.14,6,2.22
4,Mid-Semester,North Gate,Fashion,8,0.485,148,38.3
12,Holidays,Apatapiti,POS/Fintech,10,0.206,31,27.14
2,Resumption,West Gate,Fast Food,4,0.251,156,24.66
11,Holidays,West Gate,POS/Fintech,8,0.1,11,17.75
3,Mid-Semester,West Gate,POS/Fintech,10,0.345,237,6.19
3,Exams,Obanla,Fast Food,12,0.67,315,36.86
4,Exams,North Gate,POS/Fintech,10,0.435,248,30.96
4,Exams,North Gate,POS/Fintech,9,0.475,315,33.73
10,Resumption,Obanla,Electronics,10,0.585,140,29.89
11,Holidays,Apatapiti,Electronics,5,0.25,8,42.89
11,Holidays,South Gate,Fast Food,12,0.213,27,27.5
5,Exams,West Gate,Fast Food,2,0.313,169,29.29
4,Exams,Apatapiti,POS/Fintech,10,0.56,275,31.09
11,Holidays,West Gate,Stationery/Printing,1,0.107,6,17.0
10,Holidays,Apatapiti,Fast Food,8,0.141,28,28.24
8,Exams,South Gate,POS/Fintech,20,0.835,339,22.64
6,Resumption,South Gate,Stationery/Printing,10,0.83,317,62.24
6,Resumption,South Gate,Electronics,9,0.655,172,53.47
8,Exams,South Gate,Fast Food,17,0.841,335,36.37
7,Mid-Semester,Obanla,POS/Fintech,15,0.724,443,27.54
10,Holidays,Apatapiti,Electronics,4,0.1,3,33.44
11,Holidays,Apatapiti,Fashion,6,0.1,10,35.8
12,Resumption,Obanla,Electronics,9,0.68,177,44.68
10,Holidays,South Gate,POS/Fintech,16,0.227,27,13.72
8,Exams,South Gate,Stationery/Printing,11,0.776,500,66.48
2,Resumption,South Gate,Fashion,10,0.702,279,52.06
9,Exams,North Gate,Fashion,4,0.481,76,50.97
1,Holidays,Obanla,Fashion,13,0.191,14,14.23
8,Exams,South Gate,Fast Food,14,0.838,454,41.68
12,Holidays,South Gate,POS/Fintech,17,0.247,22,5.89
11,Holidays,South Gate,Fashion,9,0.271,26,37.4
12,Resumption,Obanla,Electronics,5,0.709,230,61.76
12,Holidays,North Gate,Stationery/Printing,5,0.1,4,43.38
4,Exams,North Gate,POS/Fintech,10,0.475,248,27.6
4,Mid-Semester,North Gate,Electronics,2,0.55,84,49.75
5,Exams,West Gate,Fast Food,9,0.327,189,6.79
8,Exams,South Gate,Fashion,12,0.929,115,44.24
5,Exams,Obanla,Electronics,10,0.757,59,40.65
8,Exams,Obanla,POS/Fintech,12,0.645,364,47.76
10,Holidays,Obanla,Electronics,8,0.108,3,34.9
1,Holidays,West Gate,Fast Food,4,0.1,15,20.18
12,Holidays,North Gate,Stationery/Printing,4,0.133,7,50.27
10,Holidays,North Gate,Fashion,1,0.1,9,39.98
9,Holidays,South Gate,POS/Fintech,20,0.251,23,0.0
6,Resumption,Obanla,Fashion,8,0.549,209,40.96
3,Mid-Semester,South Gate,Fashion,13,0.827,211,38.17
8,Exams,South Gate,Fashion,12,0.693,83,36.82
9,Exams,Obanla,Electronics,10,0.675,54,40.5
6,Resumption,Obanla,Electronics,10,0.658,142,48.75
11,Holidays,South Gate,Stationery/Printing,16,0.265,11,17.4
7,Mid-Semester,Obanla,Fast Food,10,0.689,386,41.64
1,Holidays,Obanla,POS/Fintech,17,0.181,24,3.03
5,Exams,South Gate,Electronics,16,0.781,46,30.49
5,Exams,North Gate,Fashion,5,0.469,69,57.07
10,Holidays,Obanla,Fast Food,14,0.168,25,6.97
4,Mid-Semester,Obanla,POS/Fintech,12,0.737,385,43.47
6,Resumption,North Gate,POS/Fintech,8,0.417,344,36.53
7,Mid-Semester,South Gate,POS/Fintech,12,0.868,407,56.9
9,Exams,Obanla,POS/Fintech,15,0.768,336,31.68
1,Resumption,West Gate,Stationery/Printing,8,0.272,99,15.05
6,Resumption,Obanla,POS/Fintech,15,0.775,522,30.95
7,Mid-Semester,South Gate,Fast Food,13,0.854,496,40.18
3,Mid-Semester,North Gate,Electronics,4,0.54,86,56.18
8,Exams,Apatapiti,Fast Food,10,0.532,267,32.32
5,Holidays,South Gate,Fashion,12,0.207,15,15.47
9,Exams,West Gate,Stationery/Printing,4,0.269,192,26.04
5,Exams,West Gate,Stationery/Printing,3,0.224,204,20.62
9,Exams,South Gate,Fashion,13,0.769,101,35.8
10,Holidays,West Gate,Fast Food,10,0.1,15,0.0
4,Mid-Semester,North Gate,Fast Food,7,0.564,402,43.87
9,Exams,Apatapiti,Fashion,8,0.598,63,39.52
5,Exams,North Gate,POS/Fintech,8,0.492,318,37.94
10,Holidays,North Gate,POS/Fintech,4,0.1,13,44.5
9,Exams,Obanla,Electronics,10,0.737,59,33.31
3,Mid-Semester,Apatapiti,Fast Food,7,0.568,382,55.5
4,Mid-Semester,South Gate,Fast Food,12,0.791,353,41.43
9,Exams,Obanla,Fashion,6,0.668,115,58.69
10,Holidays,South Gate,Fashion,12,0.206,16,26.79
11,Holidays,South Gate,POS/Fintech,20,0.186,17,0.0
6,Resumption,South Gate,Fast Food,17,0.779,341,27.58
2,Resumption,North Gate,Fast Food,13,0.431,218,18.53
7,Mid-Semester,South Gate,Stationery/Printing,9,0.864,350,70.93
2,Mid-Semester,South Gate,Electronics,7,0.834,126,59.01
11,Holidays,South Gate,Electronics,7,0.21,7,43.53
2,Resumption,South Gate,POS/Fintech,9,0.716,582,59.32
11,Holidays,North Gate,Fast Food,6,0.197,35,37.38
1,Resumption,West Gate,Stationery/Printing,2,0.188,84,29.04
11,Resumption,South Gate,Fast Food,16,0.889,363,34.37
11,Holidays,West Gate,Fashion,2,0.1,10,24.04
12,Holidays,Obanla,POS/Fintech,15,0.109,12,11.48
11,Holidays,Obanla,Electronics,12,0.192,4,14.43
3,Mid-Semester,Obanla,Fast Food,12,0.761,417,44.17
6,Resumption,Apatapiti,POS/Fintech,9,0.615,453,35.07
8,Exams,South Gate,Electronics,9,0.74,58,60.33
9,Exams,Obanla,Fast Food,11,0.645,272,43.03
7,Exams,Obanla,Stationery/Printing,12,0.73,534,36.07
4,Exams,Obanla,POS/Fintech,14,0.722,265,32.5
6,Resumption,Apatapiti,Fast Food,7,0.613,357,50.48
5,Exams,South Gate,Electronics,10,0.758,63,50.75
8,Exams,Obanla,Electronics,5,0.658,60,65.49
1,Holidays,Obanla,Stationery/Printing,11,0.281,14,18.75
1,Holidays,North Gate,POS/Fintech,7,0.123,16,23.43
11,Holidays,South Gate,POS/Fintech,16,0.175,24,10.78
6,Resumption,Obanla,Fast Food,16,0.71,285,21.74
10,Holidays,Apatapiti,Electronics,9,0.1,3,18.23
12,Holidays,North Gate,Electronics,1,0.144,6,43.45
2,Mid-Semester,Apatapiti,Stationery/Printing,9,0.568,182,37.31
5,Exams,North Gate,Stationery/Printing,6,0.45,323,53.33
1,Holidays,South Gate,POS/Fintech,18,0.277,33,13.64
7,Mid-Semester,South Gate,Electronics,12,0.871,112,54.19
1,Resumption,South Gate,Fast Food,12,0.709,320,46.51
4,Exams,North Gate,Fashion,3,0.478,84,53.01
9,Exams,South Gate,Fast Food,15,0.813,397,36.26
1,Holidays,Obanla,Stationery/Printing,9,0.174,8,23.13
4,Mid-Semester,Obanla,Fast Food,20,0.702,303,11.03
6,Mid-Semester,South Gate,Electronics,10,0.861,126,51.7
6,Resumption,South Gate,POS/Fintech,14,0.8,553,42.27
12,Resumption,South Gate,Fashion,14,0.788,250,34.63
8,Exams,Obanla,POS/Fintech,12,0.677,311,36.39
1,Resumption,South Gate,Fashion,9,0.757,261,58.26
7,Mid-Semester,South Gate,Fashion,9,0.74,212,55.76
1,Holidays,West Gate,Electronics,2,0.155,7,22.64
7,Exams,Apatapiti,Electronics,3,0.54,44,49.23
3,Mid-Semester,South Gate,Stationery/Printing,17,0.824,206,30.19
11,Holidays,North Gate,Stationery/Printing,5,0.1,4,42.8
8,Exams,North Gate,Fashion,5,0.518,64,46.13
3,Mid-Semester,Apatapiti,Stationery/Printing,4,0.651,272,57.54
1,Holidays,Obanla,Electronics,8,0.159,5,32.28
8,Mid-Semester,South Gate,Stationery/Printing,14,0.793,259,39.27
3,Mid-Semester,Obanla,Fashion,5,0.751,192,71.96
2,Resumption,North Gate,POS/Fintech,7,0.434,388,35.68
1,Holidays,South Gate,Fast Food,9,0.25,48,32.16
3,Mid-Semester,North Gate,Stationery/Printing,4,0.493,198,63.32
2,Resumption,North Gate,Electronics,1,0.44,136,51.85
2,Resumption,South Gate,POS/Fintech,12,0.799,549,48.92
6,Resumption,South Gate,Electronics,13,0.686,174,35.06
12,Holidays,North Gate,Stationery/Printing,4,0.109,5,47.12
1,Holidays,South Gate,Fashion,9,0.222,20,37.06
2,Resumption,Apatapiti,Fast Food,8,0.519,253,42.86
6,Mid-Semester,South Gate,Fast Food,17,0.864,403,27.76
3,Mid-Semester,South Gate,POS/Fintech,18,0.861,465,29.5
4,Exams,Obanla,Fast Food,17,0.756,353,24.13
1,Resumption,Apatapiti,Fashion,4,0.526,220,51.52
8,Exams,Apatapiti,Electronics,5,0.468,51,48.68
7,Mid-Semester,North Gate,Fashion,5,0.423,130,52.48
7,Exams,South Gate,POS/Fintech,13,0.831,479,47.77
3,Mid-Semester,Obanla,POS/Fintech,20,0.759,330,6.22
10,Holidays,Obanla,Fast Food,8,0.176,25,36.98
10,Holidays,South Gate,Fashion,13,0.205,15,17.71
3,Mid-Semester,West Gate,Electronics,0,0.268,40,32.91
2,Resumption,South Gate,Fashion,15,0.733,240,29.08
12,Holidays,West Gate,Electronics,1,0.1,3,25.06
1,Holidays,Apatapiti,Electronics,7,0.136,4,30.57
7,Mid-Semester,Obanla,Fashion,7,0.756,227,51.13
7,Mid-Semester,West Gate,Stationery/Printing,2,0.296,110,39.91
12,Holidays,Obanla,Fashion,11,0.171,14,19.77
2,Mid-Semester,South Gate,Electronics,5,0.885,159,69.2
7,Mid-Semester,North Gate,POS/Fintech,10,0.543,368,25.61
8,Exams,South Gate,POS/Fintech,19,0.874,427,26.94
1,Holidays,North Gate,Fast Food,10,0.116,14,14.97
9,Exams,Obanla,POS/Fintech,11,0.686,414,46.7
7,Exams,North Gate,Stationery/Printing,7,0.472,382,59.5
3,Mid-Semester,South Gate,Electronics,8,0.823,149,59.41
8,Exams,Obanla,Fashion,7,0.712,101,58.77
7,Mid-Semester,Apatapiti,Fashion,7,0.62,180,42.29
11,Holidays,South Gate,Stationery/Printing,19,0.218,8,5.18
8,Exams,North Gate,POS/Fintech,10,0.467,198,25.43
6,Resumption,South Gate,Electronics,9,0.797,142,49.77
9,Exams,Obanla,POS/Fintech,7,0.796,494,66.12
5,Holidays,South Gate,Fast Food,20,0.177,18,0.0
3,Mid-Semester,Obanla,POS/Fintech,11,0.767,399,52.21
3,Mid-Semester,South Gate,Fast Food,20,0.84,379,27.78
1,Resumption,South Gate,Fashion,7,0.723,237,59.6
12,Holidays,West Gate,Electronics,1,0.1,4,26.36
8,Exams,South Gate,Fast Food,14,0.787,336,41.71
2,Resumption,North Gate,POS/Fintech,10,0.529,377,31.47
3,Mid-Semester,South Gate,POS/Fintech,19,0.898,444,29.48
8,Exams,North Gate,Fashion,3,0.43,61,47.39
8,Exams,Obanla,Stationery/Printing,10,0.74,611,40.63
11,Holidays,South Gate,Stationery/Printing,14,0.164,7,20.19
4,Mid-Semester,South Gate,POS/Fintech,19,0.819,390,19.13
4,Exams,North Gate,Stationery/Printing,4,0.541,465,55.71
5,Holidays,Obanla,Electronics,5,0.287,11,46.93
6,Resumption,Apatapiti,Stationery/Printing,7,0.445,174,31.14
5,Exams,Obanla,Electronics,10,0.714,61,40.88
7,Mid-Semester,Obanla,POS/Fintech,19,0.77,395,8.18
2,Resumption,South Gate,POS/Fintech,20,0.751,506,23.19
7,Mid-Semester,South Gate,POS/Fintech,20,0.857,377,18.89
10,Holidays,South Gate,Fashion,7,0.192,18,29.97
7,Mid-Semester,South Gate,Stationery/Printing,17,0.881,245,35.46
1,Resumption,South Gate,Fast Food,17,0.748,334,26.74
7,Mid-Semester,Obanla,Fast Food,12,0.778,329,39.32
5,Exams,Obanla,POS/Fintech,11,0.762,468,54.62
3,Mid-Semester,West Gate,Stationery/Printing,3,0.342,141,33.83
3,Mid-Semester,South Gate,Electronics,13,0.841,119,38.95
4,Mid-Semester,Obanla,Fast Food,10,0.637,342,46.9
12,Resumption,Apatapiti,POS/Fintech,6,0.564,566,54.44
2,Resumption,Obanla,Fast Food,13,0.603,288,26.75
2,Resumption,South Gate,Fast Food,11,0.788,418,47.8
1,Holidays,South Gate,Fast Food,20,0.232,24,0.0
5,Holidays,South Gate,POS/Fintech,13,0.202,25,18.87
4,Exams,South Gate,POS/Fintech,20,0.811,342,20.03
11,Holidays,Obanla,Fashion,12,0.26,18,25.19
10,Holidays,South Gate,Fashion,13,0.277,20,19.69
2,Mid-Semester,South Gate,Fashion,9,0.832,251,49.28
3,Mid-Semester,Obanla,Fast Food,13,0.656,383,36.67
7,Mid-Semester,Apatapiti,Stationery/Printing,3,0.679,218,64.84
7,Mid-Semester,North Gate,POS/Fintech,7,0.421,342,28.35
12,Resumption,Obanla,Fashion,11,0.68,220,39.43
4,Exams,North Gate,Stationery/Printing,8,0.471,312,49.57
5,Exams,South Gate,Fashion,12,0.829,127,45.43
5,Exams,North Gate,Fashion,3,0.54,94,54.34
6,Mid-Semester,Obanla,Stationery/Printing,10,0.753,264,44.33
9,Exams,West Gate,Fashion,0,0.26,41,30.55
2,Mid-Semester,South Gate,Fast Food,13,0.864,477,51.66
5,Exams,Obanla,Fast Food,11,0.644,409,41.4
12,Holidays,South Gate,Fast Food,20,0.178,19,3.37
3,Mid-Semester,Obanla,Electronics,9,0.739,117,51.15
4,Mid-Semester,South Gate,Fashion,19,0.877,175,17.64
10,Resumption,South Gate,Electronics,3,0.834,210,70.02
6,Resumption,Apatapiti,POS/Fintech,10,0.594,454,35.54
12,Resumption,Obanla,Stationery/Printing,10,0.721,276,39.4
8,Exams,North Gate,POS/Fintech,11,0.53,284,24.42
1,Holidays,South Gate,Electronics,7,0.242,8,41.52
10,Holidays,South Gate,Fast Food,13,0.216,38,17.94
8,Exams,North Gate,Fashion,2,0.425,83,57.41
11,Resumption,Apatapiti,Fashion,2,0.542,240,49.66
7,Mid-Semester,West Gate,Fast Food,4,0.218,144,27.22
1,Holidays,North Gate,Fashion,1,0.1,11,36.81
2,Resumption,North Gate,Stationery/Printing,4,0.453,214,53.63
3,Mid-Semester,Apatapiti,Stationery/Printing,8,0.603,208,40.7
1,Holidays,North Gate,Stationery/Printing,11,0.1,5,21.43
9,Holidays,Obanla,POS/Fintech,13,0.101,11,23.11
8,Exams,South Gate,Fast Food,20,0.779,303,16.43
2,Resumption,Obanla,Stationery/Printing,7,0.662,269,53.53
9,Exams,Obanla,Electronics,8,0.722,63,53.82
7,Exams,Apatapiti,Stationery/Printing,11,0.605,371,28.55
9,Exams,Apatapiti,POS/Fintech,12,0.555,309,21.48
6,Resumption,South Gate,Electronics,6,0.746,191,61.98
6,Resumption,Obanla,Fast Food,10,0.643,369,42.13
11,Holidays,Apatapiti,Fast Food,7,0.146,23,35.8
4,Exams,South Gate,Stationery/Printing,14,0.854,510,40.55
10,Holidays,South Gate,Electronics,11,0.16,5,23.18
10,Holidays,South Gate,Electronics,13,0.114,3,19.79
2,Resumption,North Gate,Stationery/Printing,4,0.46,197,60.82
7,Mid-Semester,North Gate,Stationery/Printing,2,0.559,210,64.67
5,Exams,Obanla,Fashion,7,0.728,104,52.89
11,Holidays,South Gate,Fashion,15,0.163,14,4.76
6,Resumption,Apatapiti,Stationery/Printing,11,0.535,211,32.26
2,Resumption,South Gate,POS/Fintech,8,0.768,680,65.79
5,Holidays,South Gate,Fashion,17,0.248,18,1.14
10,Holidays,North Gate,Stationery/Printing,7,0.1,5,36.79
4,Exams,North Gate,Electronics,3,0.554,49,50.34
9,Exams,South Gate,Fashion,11,0.787,99,46.49
6,Mid-Semester,South Gate,POS/Fintech,16,0.817,409,35.52
2,Resumption,South Gate,Fast Food,15,0.779,377,37.21
1,Resumption,Obanla,Electronics,9,0.605,142,36.6
5,Exams,Apatapiti,POS/Fintech,7,0.673,457,48.59
9,Exams,North Gate,POS/Fintech,5,0.498,366,52.18
6,Resumption,Obanla,POS/Fintech,16,0.661,364,23.99
10,Holidays,Obanla,Electronics,8,0.138,5,35.72
12,Holidays,South Gate,POS/Fintech,20,0.203,18,0.2
7,Mid-Semester,West Gate,Fast Food,5,0.349,218,34.06
5,Holidays,Apatapiti,Fashion,14,0.131,10,0.0
10,Holidays,South Gate,Electronics,13,0.175,4,9.34
6,Resumption,South Gate,POS/Fintech,12,0.8,554,51.64
5,Exams,South Gate,Stationery/Printing,18,0.755,432,18.81
11,Holidays,South Gate,Fashion,12,0.224,15,19.96
9,Exams,Obanla,Electronics,5,0.733,57,63.04
6,Resumption,North Gate,Stationery/Printing,6,0.469,234,57.91
11,Resumption,Apatapiti,Stationery/Printing,10,0.562,218,32.54
8,Exams,Obanla,POS/Fintech,12,0.665,389,46.59
2,Resumption,Obanla,Electronics,10,0.666,190,38.03
12,Holidays,Obanla,POS/Fintech,13,0.175,24,15.98
9,Exams,South Gate,Fast Food,18,0.814,321,33.05
5,Exams,South Gate,Stationery/Printing,7,0.718,511,69.02
7,Mid-Semester,Obanla,Fast Food,12,0.68,389,38.82
10,Holidays,South Gate,POS/Fintech,15,0.321,42,19.48
1,Holidays,South Gate,Fashion,10,0.249,21,27.68
10,Holidays,Apatapiti,Stationery/Printing,7,0.139,7,28.74
5,Holidays,Obanla,Fashion,6,0.191,17,44.38
12,Holidays,South Gate,Electronics,12,0.313,9,24.57
10,Holidays,Obanla,Stationery/Printing,10,0.1,4,11.03
2,Resumption,Apatapiti,Fast Food,17,0.546,213,4.2
12,Holidays,South Gate,Fashion,9,0.195,15,40.87
6,Resumption,South Gate,Electronics,10,0.827,191,41.31
11,Holidays,West Gate,Stationery/Printing,7,0.104,5,10.22
1,Holidays,South Gate,Electronics,12,0.321,9,27.49
3,Mid-Semester,South Gate,Fast Food,14,0.891,439,44.54
5,Exams,North Gate,Stationery/Printing,5,0.453,349,60.3
4,Exams,Apatapiti,Electronics,5,0.558,41,55.61
3,Mid-Semester,South Gate,POS/Fintech,19,0.884,399,24.56
10,Holidays,South Gate,Stationery/Printing,12,0.285,13,30.39
5,Exams,South Gate,Stationery/Printing,13,0.772,444,46.64
11,Holidays,West Gate,Stationery/Printing,6,0.1,4,21.78
8,Exams,South Gate,Stationery/Printing,12,0.71,416,42.72
11,Resumption,Obanla,POS/Fintech,15,0.66,430,26.77
4,Exams,West Gate,Fast Food,10,0.371,191,10.56
1,Resumption,South Gate,POS/Fintech,14,0.841,607,41.31
11,Holidays,West Gate,POS/Fintech,9,0.112,17,3.32
7,Mid-Semester,West Gate,Electronics,1,0.389,66,36.74
8,Exams,Apatapiti,Fashion,4,0.557,96,53.53
3,Exams,South Gate,Fashion,14,0.804,89,38.43
6,Mid-Semester,Obanla,Electronics,5,0.736,133,65.48
2,Resumption,Apatapiti,POS/Fintech,10,0.573,465,36.7
7,Mid-Semester,West Gate,Electronics,2,0.446,61,33.52
8,Exams,South Gate,Stationery/Printing,11,0.826,573,67.83
6,Resumption,Apatapiti,Electronics,7,0.483,153,34.69
6,Resumption,South Gate,Electronics,8,0.71,215,58.56
5,Exams,South Gate,Stationery/Printing,7,0.764,577,67.18
8,Exams,North Gate,Fashion,3,0.434,75,43.13
1,Holidays,Apatapiti,Stationery/Printing,9,0.105,4,26.86
10,Holidays,North Gate,Fast Food,8,0.136,19,23.77
4,Mid-Semester,Obanla,Electronics,6,0.679,105,52.16
4,Exams,West Gate,Electronics,0,0.309,29,31.7
3,Mid-Semester,North Gate,Fashion,2,0.549,187,51.99
3,Mid-Semester,Obanla,POS/Fintech,17,0.719,388,22.02
4,Mid-Semester,North Gate,Stationery/Printing,7,0.517,188,51.28
11,Holidays,North Gate,POS/Fintech,10,0.158,24,12.59
1,Holidays,Obanla,Fast Food,8,0.231,39,38.84
11,Holidays,West Gate,Stationery/Printing,7,0.1,5,12.95
11,Holidays,Obanla,Fast Food,9,0.14,24,37.89
2,Resumption,Apatapiti,Fast Food,8,0.545,291,50.36
9,Holidays,South Gate,Fast Food,18,0.205,20,2.7
10,Resumption,South Gate,Stationery/Printing,12,0.772,247,53.36
2,Resumption,Obanla,Stationery/Printing,10,0.625,254,35.18
5,Exams,South Gate,Fashion,14,0.732,93,34.76
9,Exams,South Gate,Electronics,13,0.707,63,46.18
9,Holidays,Obanla,POS/Fintech,20,0.1,8,0.0
8,Mid-Semester,South Gate,POS/Fintech,14,0.759,458,38.62
1,Holidays,South Gate,Fast Food,12,0.264,39,29.72
1,Holidays,Obanla,Stationery/Printing,13,0.2,8,13.24
9,Exams,Obanla,Stationery/Printing,7,0.714,636,54.95
11,Holidays,West Gate,Fast Food,8,0.1,14,6.26
8,Exams,Obanla,Electronics,8,0.617,53,41.49
10,Holidays,North Gate,POS/Fintech,11,0.144,22,10.11
9,Exams,West Gate,Fashion,6,0.296,41,27.18
7,Mid-Semester,Apatapiti,Electronics,3,0.602,83,63.7
3,Mid-Semester,South Gate,Stationery/Printing,8,0.812,289,71.07
3,Exams,South Gate,Fast Food,13,0.773,414,41.21
2,Resumption,Obanla,POS/Fintech,12,0.701,495,45.34
5,Holidays,Obanla,Fast Food,12,0.149,18,14.29
12,Holidays,Apatapiti,Stationery/Printing,8,0.203,10,27.48
12,Holidays,Obanla,Fast Food,19,0.267,31,0.0
3,Exams,Obanla,POS/Fintech,16,0.768,297,27.25
6,Resumption,West Gate,Fast Food,10,0.275,151,4.87
2,Mid-Semester,Obanla,POS/Fintech,10,0.745,426,47.13
12,Holidays,South Gate,Fast Food,17,0.217,29,13.9
3,Mid-Semester,Apatapiti,Fast Food,11,0.634,434,33.2
5,Exams,South Gate,POS/Fintech,16,0.88,417,34.79
12,Holidays,Apatapiti,Fast Food,15,0.178,24,3.5
11,Holidays,West Gate,Electronics,1,0.1,3,25.83
